Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
26,1,1,6,3,1,3,3,0,5,2,1,0,5,1,2,1,17867
33,1,1,13,3,1,2,3,3,3,1,1,0,4,1,0,3,26691
24,1,1,23,2,1,3,4,0,4,1,2,0,3,1,1,1,17127
30,1,1,36,2,1,4,6,1,3,1,2,0,5,1,3,2,25062
33,0,3,8,3,0,3,3,1,4,2,1,0,1,0,0,2,20147
53,0,3,8,3,0,2,4,3,4,1,3,0,1,1,0,3,22525
29,0,3,14,2,1,3,4,1,5,3,2,0,3,1,2,2,23576
39,1,1,15,3,1,2,3,1,5,1,2,0,4,1,0,2,20151
46,1,3,9,2,1,4,4,1,4,1,2,0,5,1,3,2,23483
35,1,1,14,2,0,3,4,3,4,2,2,0,3,1,1,3,30672
35,0,3,9,3,0,4,4,0,3,1,8,0,5,0,1,1,20909
33,0,1,7,2,0,4,5,0,4,1,8,0,3,0,3,1,21010
29,0,1,16,2,0,2,4,0,3,3,2,0,4,1,0,1,21623
41,0,3,16,2,1,2,3,1,3,2,1,0,1,0,1,2,21230
43,1,1,36,3,1,3,6,1,3,3,6,0,3,1,1,2,22950
35,0,3,13,3,0,3,6,0,3,1,2,0,4,0,2,1,21029
41,1,3,12,2,0,3,3,3,3,2,4,1,1,0,0,3,28591
33,1,1,6,2,0,2,4,1,3,3,1,0,4,0,0,2,21949
40,0,1,15,3,0,2,3,3,3,3,1,0,4,0,0,3,28499
26,0,1,9,1,1,3,3,0,5,2,1,0,3,0,1,1,18102
41,1,1,25,2,1,2,3,1,5,1,3,0,1,0,0,2,18072
37,0,1,17,2,1,2,3,3,3,1,2,1,3,0,1,3,27185
31,1,3,13,2,1,2,4,0,3,1,4,0,4,1,1,1,17329
45,1,3,8,2,1,3,6,1,4,2,8,0,3,0,2,2,21040
33,0,1,9,2,1,3,3,0,5,2,2,1,5,1,2,1,18348
33,1,1,9,3,0,4,4,0,4,0,3,0,4,0,1,1,21048
33,1,1,14,2,1,3,3,1,3,3,3,1,3,0,2,2,21388
30,1,3,18,1,0,2,3,1,3,3,1,0,2,1,0,2,21577
42,0,1,25,3,1,2,2,0,3,1,7,1,3,1,1,1,17759
46,1,1,8,2,1,2,3,4,3,1,7,0,5,1,0,0,32861
51,1,1,16,2,1,4,4,0,3,1,6,0,5,1,3,1,21058
30,1,1,8,2,0,2,5,1,3,2,3,0,1,1,0,2,21091
37,0,1,25,2,1,3,3,0,3,0,6,0,5,0,1,1,22366
28,0,2,6,2,1,2,3,0,3,1,2,0,4,0,1,1,17706
42,1,1,12,3,1,2,3,3,5,1,1,0,3,1,0,3,28348
44,1,1,10,3,1,2,3,1,4,2,1,0,2,1,0,2,20933
39,0,1,9,3,0,3,5,0,4,2,3,0,1,1,1,1,21118
42,1,1,23,2,0,2,2,1,5,3,4,1,2,0,0,2,21545
39,0,1,28,3,0,2,3,3,5,3,2,1,5,1,1,3,25880
28,0,1,6,2,0,2,5,1,3,0,1,0,3,1,0,2,21674
43,1,1,20,2,1,3,3,4,5,1,7,0,5,1,1,0,32159
45,1,1,22,3,0,4,4,3,3,0,3,0,3,0,2,3,26656
53,1,1,13,1,1,4,4,1,5,1,5,1,4,1,2,2,24255
42,1,1,16,2,1,4,4,0,5,1,4,0,1,0,1,1,20916
36,1,1,33,3,1,3,3,1,3,0,7,0,3,1,0,2,20237
22,1,1,7,1,0,4,5,0,4,2,3,1,5,0,3,1,20748
37,1,1,12,2,1,4,4,1,4,3,2,0,2,0,3,2,24592
30,0,3,20,1,0,3,4,1,4,3,7,0,3,0,2,2,24443
36,0,1,18,3,1,4,5,3,5,1,4,1,5,1,3,3,28562
40,1,1,10,3,0,2,3,2,3,0,2,0,5,0,1,4,34033
51,0,1,14,2,1,2,5,3,3,3,3,0,2,0,1,3,25650
39,1,3,7,2,1,3,5,0,5,3,6,0,3,0,2,1,21536
43,1,1,18,2,1,2,4,4,4,1,2,0,3,0,1,0,29336
35,1,1,10,2,1,3,3,0,3,1,2,0,4,0,0,1,16951
40,0,1,9,1,0,4,4,3,3,2,2,0,2,1,2,3,29616
27,1,3,17,3,1,3,4,1,3,3,3,0,1,0,1,2,23362
26,0,1,8,2,1,2,3,0,5,0,7,1,5,1,0,1,17042
43,0,3,32,2,1,3,3,4,3,0,2,1,2,0,0,0,31959
32,1,1,18,3,1,4,4,1,5,0,3,1,2,0,3,2,25511
35,1,1,12,3,0,3,5,3,5,2,4,0,2,0,1,3,30309
34,1,1,11,3,0,3,5,0,4,1,8,0,4,0,2,1,21300
31,1,1,14,2,0,2,4,0,4,2,2,0,4,0,1,1,16261
35,1,3,16,2,0,4,4,1,3,1,3,0,1,0,1,2,24392
42,0,3,16,2,1,3,6,4,3,1,2,0,5,1,2,0,24829
34,1,1,14,2,0,2,3,1,5,1,4,0,5,1,1,2,20121
34,1,1,9,2,0,3,4,0,5,0,2,0,3,1,1,1,21385
34,1,1,13,2,0,2,3,3,4,3,1,0,3,1,0,3,26994
39,1,1,36,1,1,3,4,1,3,0,5,0,2,0,2,2,24939
29,1,1,12,1,1,3,4,0,3,3,3,1,1,0,1,1,22119
35,0,1,8,3,1,2,3,1,3,1,3,0,3,0,1,2,20762
26,1,3,10,3,1,2,4,1,3,2,2,1,2,1,1,2,20828
37,1,1,10,2,0,3,4,0,3,1,7,0,2,1,1,1,21513
35,0,1,16,2,1,4,4,1,5,1,6,0,3,0,2,2,24024
40,0,1,9,2,1,3,4,4,3,1,2,0,3,1,1,0,30847
33,1,3,11,3,0,2,3,0,3,2,2,1,2,1,0,1,17851
38,1,3,15,3,1,3,4,0,4,0,1,0,4,0,0,1,17899
33,0,1,20,2,0,4,5,0,4,1,3,0,5,1,1,1,21421
29,1,1,6,2,0,2,4,0,5,0,2,1,2,0,0,1,17319
34,1,1,14,3,1,3,4,3,3,1,2,0,4,1,1,3,30369
36,1,3,24,2,1,4,4,1,5,0,5,1,3,1,2,2,27644
23,1,3,8,1,1,3,3,0,5,1,4,0,3,1,1,1,17322
61,1,1,14,2,0,3,4,2,5,0,7,0,5,0,1,4,38244
55,0,3,8,2,0,2,4,0,3,2,1,0,5,0,0,1,28577
61,0,3,35,3,0,4,5,3,5,0,6,0,2,1,1,3,28944
28,0,3,7,3,1,4,4,1,4,1,2,1,1,0,2,2,25027
36,0,1,17,2,1,3,4,1,4,3,2,0,4,1,1,2,21499
41,0,3,35,2,1,3,6,3,5,1,5,0,5,1,1,3,29610
33,1,1,9,3,0,4,3,1,3,3,2,0,3,1,3,2,23733
40,1,1,8,2,1,2,4,0,3,2,3,0,5,0,1,1,17809
31,0,1,10,2,1,3,4,0,3,0,6,0,3,0,2,1,20775
39,1,1,7,1,0,4,4,3,5,1,3,0,4,1,2,3,32260
28,0,1,30,1,1,3,4,3,5,3,2,0,1,1,1,3,23722
30,0,1,9,2,0,4,4,0,4,0,2,0,5,0,3,1,21858
52,0,1,31,3,0,2,4,4,3,0,4,0,5,0,1,0,28826
22,1,3,19,2,0,3,3,0,4,3,3,0,5,0,2,1,21394
27,1,3,14,3,0,2,3,1,4,1,2,0,1,0,1,2,21214
45,1,1,17,2,1,4,4,0,3,3,3,1,3,1,1,1,21614
36,1,3,16,3,1,2,4,3,5,1,1,0,5,0,0,3,22094
43,1,1,13,2,0,2,3,3,5,0,1,0,5,1,0,3,24985
36,1,1,8,2,0,2,3,1,4,2,1,1,3,1,0,2,20410
55,1,1,20,3,1,3,2,2,4,2,1,0,2,0,2,4,33722
56,1,1,30,2,1,3,3,0,3,2,2,0,3,0,0,1,17587
42,1,3,6,2,1,2,3,1,3,0,2,0,3,1,0,2,19907
34,1,3,14,2,0,3,3,1,5,1,6,0,1,1,2,2,21500
51,1,1,15,2,1,3,3,0,3,1,4,0,3,1,0,1,17075
40,1,3,11,2,0,3,5,1,3,0,6,0,5,1,1,2,24580
53,0,1,26,3,1,3,4,0,3,0,2,0,3,1,1,1,22936
50,1,1,27,3,0,4,4,1,5,0,3,0,2,1,3,2,25245
28,1,1,6,2,0,3,5,0,4,2,1,1,2,1,0,1,17216
38,1,3,23,3,1,4,5,1,3,1,6,0,5,1,3,2,25012
49,1,1,26,3,0,3,3,1,5,1,2,0,1,1,0,2,21567
30,1,2,24,2,1,3,5,3,5,3,3,0,3,0,1,3,26666
32,1,1,11,2,1,3,2,0,4,1,1,1,2,1,0,1,18298
31,1,1,7,2,1,3,6,0,3,0,5,0,4,1,1,1,22511
36,1,1,28,2,0,3,4,1,3,1,3,1,3,0,1,2,22692
18,0,3,11,3,1,3,3,0,4,2,2,1,4,1,2,1,16878
42,1,1,8,3,0,2,4,0,5,1,1,1,4,1,1,1,17593
25,1,3,17,3,0,4,4,1,3,1,3,1,1,0,1,2,22938
38,1,3,8,3,0,3,5,1,3,1,3,1,3,0,0,2,20405
29,1,1,22,2,1,3,4,0,3,1,3,0,4,1,2,1,20885
29,1,1,24,3,1,4,4,1,5,1,3,0,1,0,2,2,23236
29,1,1,27,2,0,2,1,3,5,1,2,0,5,1,1,3,24980
39,1,1,16,3,1,3,3,4,5,1,2,1,3,1,2,0,32068
47,1,1,11,2,1,2,3,2,3,1,5,0,1,1,0,4,33300
61,1,3,23,3,1,3,4,1,5,3,2,0,4,1,1,2,24083
33,1,1,9,1,1,4,4,0,5,2,3,0,1,1,2,1,21117
54,1,1,25,3,0,3,3,1,5,1,1,1,3,0,2,2,20485
42,1,3,10,3,1,2,3,1,5,2,1,0,5,1,0,2,20155
36,1,1,12,1,1,4,4,3,4,3,2,0,3,0,1,3,26773
34,1,3,14,2,0,3,3,1,5,0,6,0,2,1,0,2,21500
27,1,1,32,2,1,3,6,0,3,2,3,0,2,1,2,1,20971
46,1,3,8,3,0,2,3,2,5,2,4,0,1,1,1,4,33947
25,1,1,7,2,1,3,5,1,3,3,3,0,3,1,2,2,23295
24,1,1,19,2,1,4,4,0,3,3,3,0,5,1,1,1,21325
46,1,3,16,2,0,3,3,3,4,1,6,0,1,0,2,3,22314
44,1,3,15,2,1,3,4,0,5,1,4,0,1,1,2,1,34190
31,0,1,15,3,1,2,4,0,5,2,1,1,3,1,0,1,17321
41,0,3,10,3,1,2,3,1,4,3,2,0,3,1,0,2,24355
27,0,2,24,2,0,3,4,0,3,1,2,1,5,0,2,1,21419
44,1,3,6,3,0,3,3,1,5,1,6,1,1,1,1,2,20454
33,1,3,20,2,1,4,4,1,3,1,4,0,2,0,1,2,23081
37,1,1,6,1,0,2,3,3,3,3,5,0,5,1,1,3,22491
23,1,3,13,2,1,2,3,0,3,1,2,1,1,1,0,1,17275
40,1,1,25,2,1,3,4,1,3,3,2,0,3,0,1,2,23212
25,0,1,16,3,1,3,4,0,5,3,4,1,3,0,2,1,21850
37,1,1,20,2,0,3,3,0,5,1,2,0,4,1,0,1,18034
57,1,1,30,2,1,2,2,3,3,1,4,1,4,1,1,3,24439
34,1,1,15,3,0,2,4,3,4,3,2,0,1,1,0,3,23621
19,1,1,31,2,0,2,1,0,3,2,2,1,5,1,0,1,17994
43,0,3,8,2,1,3,3,1,3,1,2,0,3,1,2,2,20675
25,0,3,20,2,0,4,4,0,4,0,3,0,1,0,1,1,20711
26,0,1,9,2,1,4,2,1,3,1,3,0,1,0,2,2,23884
28,1,1,9,3,0,3,3,3,4,1,1,0,4,0,0,3,22655
25,1,1,30,3,1,3,3,0,3,0,3,1,4,0,2,1,21403
52,1,1,7,2,1,4,4,0,3,1,3,0,4,1,1,1,21401
35,1,1,15,3,1,3,2,1,3,1,4,0,3,0,2,2,23082
22,1,1,25,2,0,4,4,0,3,3,3,0,3,1,2,1,21371
40,1,1,13,2,0,3,4,3,4,3,6,0,3,0,2,3,27054
43,0,1,9,3,1,3,4,0,3,2,7,1,2,0,2,1,21193
30,1,1,22,2,0,4,6,0,3,0,2,1,5,1,1,1,20846
47,1,1,8,3,0,2,3,4,3,0,4,0,5,1,0,0,32169
50,1,3,18,3,0,3,4,3,3,0,3,0,4,0,2,3,26332
32,0,3,9,2,0,3,4,3,3,1,3,1,1,1,1,3,28530
34,1,3,15,3,1,3,4,1,3,1,2,0,2,1,2,2,25782
41,0,1,23,3,1,3,5,1,3,3,8,0,5,1,2,2,23772
30,1,3,15,3,1,2,3,0,3,2,2,0,5,0,0,1,16081
51,0,3,19,2,1,3,4,1,3,2,5,1,3,1,2,2,35558
28,1,3,19,3,0,2,3,1,3,3,4,1,5,1,1,2,24854
43,1,3,15,3,1,3,4,1,4,1,2,0,3,1,1,2,25503
30,1,1,35,2,0,4,4,0,3,1,6,0,5,1,1,1,21192
33,1,1,11,2,0,4,5,1,3,0,3,0,4,1,1,2,24840
54,1,3,14,3,0,4,5,3,3,1,2,1,1,0,2,3,29612
32,0,3,11,2,1,2,3,1,4,1,2,0,3,1,1,2,21524
39,1,3,17,2,0,4,4,1,3,1,3,0,4,0,3,2,24021
37,1,3,17,3,1,3,5,3,5,1,2,0,5,0,1,3,25772
24,1,1,33,2,1,3,4,0,3,1,3,0,2,1,2,1,21582
36,0,3,18,3,1,3,4,1,3,1,3,0,5,0,1,2,23646
36,1,1,32,2,1,3,3,1,3,1,7,0,3,1,0,2,20347
33,0,3,6,2,0,2,2,1,5,0,3,0,3,1,0,2,20376
36,1,3,7,3,1,3,4,1,3,0,2,0,3,1,1,2,23395
59,1,1,9,2,1,3,4,0,3,1,4,0,3,0,0,1,17177
51,1,3,35,3,1,3,5,3,5,1,6,1,5,0,1,3,29532
60,1,3,32,2,0,3,4,3,5,3,2,0,3,1,1,3,26315
43,0,1,35,1,0,3,5,1,3,0,2,0,3,0,1,2,23201
44,0,1,28,3,1,4,4,0,3,0,2,0,4,0,3,1,20936
45,1,3,35,3,0,3,2,4,3,0,5,1,2,1,2,0,31998
29,1,1,24,3,1,4,4,1,5,1,3,0,2,0,1,2,23236
25,0,1,14,2,0,3,4,0,3,1,3,1,4,0,1,1,21564
25,1,1,24,3,0,3,5,1,3,1,3,0,3,1,2,2,23055
42,0,1,14,2,1,3,3,2,3,1,2,0,5,1,1,4,33430
41,1,1,15,2,1,3,3,0,5,1,2,0,5,1,1,1,17289
47,1,3,22,3,1,3,6,1,3,1,8,1,1,0,2,2,22101
53,1,1,8,3,1,2,1,4,4,2,5,0,1,1,0,0,31598
35,1,3,22,3,1,3,3,3,4,1,1,0,1,1,1,3,23020
55,1,1,8,2,0,3,3,4,3,2,3,1,5,0,1,0,31659
30,1,1,22,2,0,3,5,1,3,3,2,1,1,1,2,2,22871
30,1,1,8,2,0,2,5,1,3,2,3,0,2,0,1,2,21091
47,1,1,15,2,0,3,3,0,3,2,5,0,3,1,0,1,17105
29,1,1,21,2,0,3,5,0,3,0,1,1,5,1,0,1,17168
28,1,1,15,3,0,3,3,0,3,1,6,0,3,1,1,1,17377
26,1,1,13,3,0,2,4,3,5,1,1,1,4,1,1,3,17875
59,0,3,6,2,0,2,4,1,3,2,1,0,5,1,0,2,20473
34,0,1,9,2,1,2,4,0,3,1,4,0,1,0,0,1,17979
54,0,3,9,3,0,3,5,3,4,0,4,0,2,0,2,3,26203
44,1,2,6,2,0,2,4,1,3,2,5,0,5,1,1,2,20985
45,1,1,9,2,0,4,2,0,3,0,3,0,4,1,1,1,20689
47,1,1,7,3,1,4,4,3,5,1,2,0,2,0,1,3,28074
45,0,1,24,2,1,4,6,0,3,2,4,0,4,1,2,1,20968
32,0,1,10,3,1,3,4,0,5,1,3,1,1,0,1,1,21743
59,0,1,22,2,1,3,4,4,3,1,4,1,1,1,1,0,34465
55,1,1,20,3,1,3,1,2,4,2,1,0,1,1,1,4,33722
34,0,1,7,2,0,3,2,1,4,1,3,1,3,1,1,2,24166
34,0,1,14,2,1,3,4,1,3,1,3,0,5,1,2,2,24646
35,1,1,6,2,0,2,1,0,3,2,4,0,3,1,1,1,17506
44,1,1,29,3,1,3,3,0,5,2,1,0,3,0,2,1,33213
30,1,1,15,3,1,4,5,1,3,1,3,1,3,1,2,2,23734
38,1,3,16,2,0,3,3,1,3,1,2,0,4,0,2,2,20343
33,1,1,12,2,1,3,5,1,3,3,2,0,1,0,2,2,28357
29,1,2,23,2,1,2,4,3,5,3,2,0,3,0,0,3,22988
33,1,1,6,3,0,3,1,4,3,1,5,0,1,1,0,0,31184
44,1,1,8,2,0,3,1,0,3,0,2,0,4,1,0,1,17011
46,1,3,16,3,1,4,4,3,5,1,6,1,2,1,1,3,29439
21,0,3,24,3,0,3,3,1,3,1,1,1,5,0,1,2,17625
29,1,1,17,2,0,3,4,1,3,3,5,0,4,1,2,2,22338
60,1,3,13,3,1,2,1,1,3,1,1,1,5,0,0,2,20220
29,1,3,16,2,1,3,3,0,3,2,2,0,4,1,0,1,17642
38,1,3,9,2,1,2,3,1,3,3,1,1,3,1,1,2,21861
35,0,3,24,2,1,3,3,3,5,0,2,0,4,1,0,3,24069
25,1,1,31,3,1,3,4,0,4,3,2,0,5,0,2,1,22275
34,1,3,17,3,1,3,2,3,3,1,2,1,4,1,2,3,27058
40,1,1,9,1,0,4,5,1,3,3,3,0,1,1,2,2,23231
35,0,1,17,3,1,3,4,3,5,0,3,1,5,1,1,3,24884
39,0,1,28,3,0,2,3,3,5,3,2,1,5,1,0,3,25880
37,1,1,13,3,1,1,3,3,3,2,5,0,1,0,0,3,28664
30,1,1,24,2,0,3,3,0,3,2,2,0,1,1,2,1,17632
36,1,1,9,2,0,4,4,0,5,1,3,1,1,1,2,1,20752
44,1,1,13,3,0,4,5,1,3,3,3,1,4,1,2,2,22759
27,1,1,11,1,1,2,4,3,3,1,2,1,3,0,0,3,27808
32,1,2,29,2,1,3,6,0,3,1,3,0,1,0,2,1,28530
30,0,1,9,3,0,3,3,0,3,1,2,0,3,1,1,1,17083
38,1,1,31,2,0,2,4,3,4,0,4,0,3,1,0,3,27061
36,0,1,9,2,0,4,4,1,5,1,4,0,4,0,1,2,23771
32,1,3,13,2,1,4,6,1,3,1,6,1,3,0,3,2,24850
40,0,1,6,2,1,3,4,4,4,1,2,0,1,1,1,0,28503
46,1,3,8,1,0,3,5,4,4,1,4,1,5,1,0,0,31872
29,1,1,12,3,0,2,3,0,3,0,2,0,3,0,0,1,18131
48,0,3,34,2,0,4,2,1,3,3,6,1,4,1,3,2,25075
32,1,1,15,2,0,3,3,1,3,1,2,1,5,1,2,2,21322
36,1,1,14,2,1,4,4,0,4,3,3,1,3,1,2,1,24041
30,0,3,9,2,1,4,4,1,3,0,3,0,2,1,2,2,23327
35,0,1,9,2,1,4,4,1,3,3,4,0,4,1,3,2,22711
54,1,1,13,2,1,3,4,1,3,2,4,0,5,1,2,2,21128
35,0,3,26,3,1,4,2,1,3,3,2,1,1,0,1,2,23982
41,0,1,16,3,1,3,4,0,4,1,2,1,4,0,1,1,22295
25,1,1,25,2,1,3,4,0,3,1,2,0,4,0,1,1,21452
37,0,1,11,2,0,4,4,1,4,1,2,0,3,1,2,2,23809
30,1,3,6,2,1,3,4,1,5,1,2,0,4,1,1,2,24714
32,1,3,17,3,0,3,4,1,3,1,4,1,1,0,1,2,25261
34,1,3,12,3,0,3,4,0,3,3,3,1,2,1,1,1,21529
20,1,1,10,1,1,2,3,0,5,2,2,0,3,1,1,1,17973
37,1,1,10,2,1,4,2,1,5,1,8,0,1,1,3,2,25520
30,0,3,32,3,0,2,4,1,5,3,6,0,1,1,1,2,21696
34,0,1,13,2,1,2,4,1,3,1,5,0,5,1,1,2,26403
33,1,1,9,1,1,3,5,1,5,2,6,0,4,0,2,2,20854
38,0,1,18,2,1,3,4,3,3,1,3,1,3,1,2,3,30863
35,1,3,11,2,1,4,4,3,3,1,4,1,4,0,3,3,28391
29,1,1,34,3,0,3,6,1,5,1,2,0,4,1,1,2,23886
41,1,1,17,2,0,3,3,0,3,0,5,1,3,0,2,1,20891
59,0,2,8,2,0,2,4,2,3,1,1,0,1,0,1,4,33844
56,0,3,9,2,0,3,5,0,3,2,2,0,5,0,1,1,32255
28,0,1,10,3,1,3,4,0,3,0,3,0,2,1,1,1,20384
28,1,1,9,3,1,3,4,0,4,0,2,0,5,1,1,1,22146
27,1,3,8,3,0,2,1,1,3,3,1,0,1,0,1,2,21500
50,0,2,9,3,1,3,3,2,4,1,2,0,1,1,2,4,33200
38,1,1,6,2,0,2,3,3,3,3,5,1,1,0,1,3,22861
34,1,1,11,3,0,2,4,3,5,3,3,0,2,0,0,3,26631
42,1,1,10,1,1,2,3,2,3,1,2,0,1,0,0,4,34232
31,0,1,12,2,1,4,5,0,3,1,2,0,5,0,1,1,22439
37,1,2,20,2,1,3,4,0,4,0,6,0,3,1,1,1,20821
46,1,3,8,3,0,2,3,2,5,2,4,0,2,0,1,4,33947
41,0,3,10,3,1,2,3,1,4,3,2,0,3,1,0,2,24355
56,0,1,15,3,1,3,5,4,4,1,3,1,3,1,2,0,32255
27,1,1,9,3,1,3,5,0,3,3,2,0,3,0,1,1,22582
44,1,1,16,2,1,3,3,0,3,2,2,1,3,1,2,1,17936
29,1,1,7,2,1,4,5,0,3,1,3,0,4,0,2,1,20241
29,1,1,6,1,1,2,3,0,3,2,1,0,2,0,0,1,17058
32,0,1,6,2,0,3,4,0,4,1,7,0,3,0,2,1,17332
35,0,1,23,2,0,4,5,0,3,2,3,0,5,1,3,1,21231
33,1,1,14,2,1,2,1,0,5,1,7,0,3,1,1,1,18143
33,0,3,33,3,1,4,4,1,3,0,2,0,4,1,3,2,23143
43,0,1,33,2,0,2,3,3,5,1,1,0,4,1,0,3,25820
44,1,2,9,2,1,4,4,0,3,3,2,0,1,0,1,1,22217
29,1,1,16,3,0,4,4,0,3,1,7,0,3,1,2,1,21055
21,1,1,11,1,1,3,4,0,5,3,3,0,3,1,1,1,21651
38,1,3,9,3,1,4,4,1,3,1,6,1,3,0,3,2,28280
39,1,3,8,2,1,2,1,3,3,3,1,0,2,1,1,3,22880
34,1,3,15,2,0,3,3,1,3,1,2,0,1,0,0,2,20714
37,1,1,7,2,0,3,4,1,4,0,2,0,5,0,1,2,23906
51,1,1,12,2,1,2,3,2,3,2,1,0,5,1,0,4,34537
35,1,1,12,2,1,2,5,1,3,3,2,0,5,1,0,2,21646
37,1,1,10,2,0,3,4,0,3,1,7,0,1,0,2,1,21513
47,1,1,8,2,0,2,3,4,3,1,2,1,4,1,0,0,31752
29,1,1,14,3,1,3,4,1,3,0,2,1,3,0,0,2,20056
56,1,1,6,2,0,2,3,0,5,0,3,0,5,1,1,1,17066
40,0,1,32,3,0,2,3,1,4,1,2,0,2,1,0,2,20605
42,0,1,9,2,0,4,5,1,3,3,4,1,1,0,1,2,25489
45,1,3,19,3,1,2,1,4,3,2,7,1,3,1,0,0,33824
45,0,1,8,3,1,3,4,4,3,0,1,0,4,1,0,0,31792
41,1,3,8,2,1,2,3,4,4,2,2,0,3,1,1,0,31015
51,1,3,32,3,0,3,3,4,3,0,3,0,3,0,1,0,31307
32,1,1,7,2,1,4,5,0,5,1,3,0,4,1,2,1,20896
28,1,3,15,2,1,3,3,1,3,2,2,0,3,1,0,2,20253
32,1,1,12,1,1,3,4,0,3,0,2,1,4,0,2,1,23499
43,1,1,10,2,0,4,2,1,3,0,4,1,5,0,1,2,23909
38,1,1,9,0,1,4,5,0,3,2,8,1,3,0,1,1,20768
46,0,3,11,3,1,3,3,1,3,2,5,1,5,1,1,2,20772
44,1,3,32,3,1,4,5,3,3,1,7,0,4,1,2,3,29476
41,1,3,29,3,1,4,5,1,3,0,4,1,3,1,2,2,25058
40,1,1,21,2,0,3,4,3,3,1,2,0,1,1,1,3,25435
42,0,3,32,3,0,3,3,4,4,0,6,0,3,1,2,0,28525
40,1,2,10,2,0,3,2,1,4,1,2,0,1,0,1,2,25067
27,1,1,23,2,0,2,3,0,3,2,2,1,5,1,0,1,17394
48,1,3,8,3,1,2,4,1,4,3,1,1,1,1,0,2,22898
39,1,1,16,3,1,3,3,1,5,1,3,0,5,1,2,2,20377
36,1,1,29,2,1,3,6,0,3,3,2,0,4,1,2,1,22908
51,1,3,10,3,1,3,5,0,3,0,3,1,4,0,1,1,21361
48,0,3,10,3,0,3,4,4,3,1,2,1,5,1,2,0,32448
35,1,3,23,2,1,3,3,1,5,0,4,1,3,1,1,2,23966
31,1,1,27,2,1,3,4,1,5,0,2,0,4,1,1,2,28635
26,0,1,11,3,0,2,4,0,3,1,2,1,1,0,1,1,17366
54,1,1,25,3,0,3,3,1,5,1,1,1,3,0,0,2,20485
39,1,1,9,3,1,4,4,0,3,0,8,1,4,0,1,1,21735
44,1,1,16,2,1,2,3,1,3,1,3,1,3,0,1,2,21465
48,0,1,10,3,1,2,4,4,3,1,3,0,5,1,1,0,30202
43,1,1,13,2,0,2,3,3,5,1,1,0,5,1,0,3,24985
34,1,3,8,2,1,2,3,1,3,2,2,0,5,0,0,2,21274
27,1,3,36,3,1,3,4,1,3,1,7,0,5,0,1,2,22984
32,0,3,27,3,0,3,4,1,3,0,3,0,2,1,1,2,25610
31,1,3,36,1,1,3,4,3,4,1,5,0,4,0,2,3,27928
36,1,1,11,2,1,3,3,1,4,2,1,0,2,0,2,2,20914
55,1,3,10,3,0,3,4,1,5,0,4,0,4,1,2,2,24618
51,1,1,8,3,1,2,5,1,4,1,6,0,1,0,1,2,20482
41,1,1,21,3,1,3,5,2,3,2,3,0,3,1,2,4,38304
59,1,3,31,2,0,2,3,3,5,3,1,0,3,1,0,3,22637
24,0,1,15,3,1,2,3,0,5,2,3,1,3,0,1,1,18172
46,1,3,8,3,0,3,3,4,5,1,1,0,1,1,1,0,32048
