Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
19,1,1,10,3,1,3,4,0,3,2,3,0,4,1,1,1,20098
29,1,3,29,2,0,2,4,3,5,1,2,0,3,1,1,3,22336
36,1,1,8,3,1,3,3,0,3,2,5,0,5,1,1,1,17519
46,1,1,12,3,0,3,6,1,5,3,3,1,3,1,1,2,24447
38,0,1,8,2,0,3,1,1,5,2,7,1,1,0,0,2,20980
36,0,1,29,3,1,2,1,1,3,1,5,0,3,0,0,2,17571
23,0,1,10,2,1,3,5,0,3,0,2,1,3,0,1,1,21531
45,0,3,8,2,0,3,3,1,3,1,5,0,1,1,2,2,20154
47,1,3,8,2,0,3,4,0,3,2,2,1,2,1,0,1,18294
36,1,1,8,2,0,3,3,0,3,1,5,0,5,1,0,1,17543
53,1,3,13,3,0,3,4,3,3,1,1,1,1,0,1,3,25934
34,1,1,6,2,0,2,4,0,4,0,6,0,1,1,1,1,18294
28,1,3,17,3,0,4,5,1,3,0,3,1,3,1,3,2,24447
32,1,1,8,3,0,3,1,1,3,2,1,0,3,0,0,2,20055
38,1,1,21,2,1,3,4,3,3,1,1,1,5,1,2,3,26510
19,1,1,9,3,0,3,3,0,4,2,2,0,3,1,0,1,16483
38,0,1,16,3,1,3,3,0,3,0,1,0,5,0,2,1,17684
34,1,3,7,3,1,3,2,1,5,1,3,0,4,0,1,2,22715
41,0,3,12,2,1,3,5,3,5,1,7,1,5,0,1,3,29153
59,1,1,12,1,0,3,5,3,4,1,4,1,5,1,2,3,29230
41,1,1,23,2,0,3,4,3,3,3,8,1,4,1,1,3,26623
41,1,3,6,2,0,3,3,1,3,2,1,1,2,1,0,2,20993
42,0,1,8,3,1,2,3,0,3,2,6,1,1,1,1,1,17515
30,0,1,9,2,1,2,3,0,3,1,5,0,3,1,0,1,17097
50,1,3,15,1,1,3,5,4,4,1,8,0,4,1,2,0,31798
41,1,1,7,2,1,3,4,0,4,0,5,0,1,1,2,1,21065
26,1,3,26,3,1,3,5,0,4,1,3,1,1,0,2,1,21091
41,1,3,14,3,1,3,4,0,4,3,3,0,5,0,1,1,23339
39,1,1,16,3,1,3,3,3,3,3,1,0,3,1,0,3,28464
31,1,3,13,1,1,3,2,1,3,0,5,0,2,1,0,2,21929
43,0,1,15,3,1,3,3,1,3,1,4,1,3,1,2,2,20679
30,1,3,16,3,0,3,6,0,4,3,3,0,1,1,2,1,21438
23,0,3,15,3,1,2,3,0,5,1,2,0,5,1,0,1,16790
28,1,1,15,3,0,3,2,0,3,1,2,0,4,0,1,1,22195
45,1,1,15,2,1,4,2,0,3,0,4,1,3,1,3,1,21496
26,1,3,33,3,0,3,4,1,3,3,3,0,4,0,1,2,24858
58,1,3,36,3,1,3,5,4,3,1,5,0,3,1,1,0,32796
55,1,2,26,3,1,3,4,3,4,1,4,0,3,1,2,3,29403
44,1,1,15,2,0,3,4,1,4,1,6,0,3,1,1,2,23443
30,1,1,25,3,1,3,5,0,3,2,3,1,3,0,2,1,21067
36,1,3,7,3,1,3,5,1,5,3,2,0,1,1,2,2,22990
28,0,1,7,1,1,3,5,1,5,0,7,0,3,0,2,2,22976
36,0,1,24,2,1,3,3,1,3,3,3,0,3,1,0,2,22779
35,1,1,34,3,0,4,4,0,4,2,4,0,3,1,1,1,20989
25,0,2,17,3,1,3,4,0,3,1,2,0,4,1,2,1,20823
26,1,2,27,3,0,4,4,0,4,1,2,1,3,0,2,1,22347
37,0,1,16,3,1,3,3,3,3,1,7,0,3,0,2,3,25048
34,1,1,25,3,1,3,3,0,3,1,1,0,3,0,0,1,17661
45,0,3,12,3,0,2,4,3,3,3,7,0,4,1,0,3,23865
29,1,3,16,3,0,2,4,1,4,1,2,1,5,0,1,2,23268
29,1,1,15,3,0,2,3,0,3,1,1,0,5,1,1,1,17974
57,1,1,16,3,1,3,4,4,3,0,2,0,4,0,1,0,29781
28,0,1,17,2,1,3,4,3,5,1,3,0,3,0,2,3,27471
36,0,3,16,3,1,2,3,3,3,3,2,0,1,1,1,3,24980
58,0,3,8,3,1,2,3,4,4,1,5,0,4,1,0,0,17705
36,1,1,13,2,1,3,6,1,3,3,3,0,5,0,2,2,25324
34,1,1,32,3,1,3,5,0,4,2,6,1,4,1,1,1,20991
37,1,3,9,2,0,3,4,1,3,3,5,0,4,1,2,2,23180
24,1,1,23,2,0,3,3,0,4,0,2,0,2,0,1,1,17210
26,1,3,20,3,1,3,4,0,3,0,3,0,3,1,1,1,20774
33,0,3,18,2,1,3,2,1,3,1,2,0,3,1,1,2,23385
23,1,1,10,3,1,2,2,0,5,0,3,0,4,0,1,1,17819
36,1,1,21,2,1,3,5,0,4,1,3,1,5,1,2,1,22421
36,1,1,12,2,1,2,3,0,3,0,1,0,5,1,1,1,18210
58,1,1,13,3,0,2,4,3,5,0,1,1,4,1,0,3,25008
43,0,1,13,3,1,2,2,0,3,1,5,0,4,0,1,1,17089
42,1,1,24,2,1,2,3,1,5,1,7,1,1,0,0,2,20410
38,1,1,24,3,1,2,5,1,3,1,4,1,5,0,1,2,20811
36,1,1,7,2,0,4,6,0,3,1,3,0,3,0,2,1,21655
32,0,1,11,2,0,2,1,0,3,2,4,1,1,0,1,1,17432
32,1,3,6,3,0,2,3,3,3,1,2,0,5,1,0,3,25422
22,1,1,11,2,1,2,1,0,4,1,2,1,4,1,0,1,17328
37,0,1,15,2,0,4,2,3,5,1,2,0,3,0,2,3,30391
25,0,1,16,2,1,3,5,0,4,1,3,0,5,1,1,1,21372
46,1,3,10,3,0,2,4,2,4,0,3,0,5,1,0,4,33789
26,1,1,31,2,1,2,5,0,3,2,2,0,1,0,0,1,17293
32,1,3,13,2,1,4,6,1,3,0,6,1,3,1,2,2,24850
38,1,3,16,3,1,3,4,3,3,1,1,1,3,1,1,3,23740
27,1,1,10,2,0,3,3,0,3,2,2,0,1,0,0,1,17318
28,1,1,9,2,0,3,4,1,3,1,2,0,5,1,1,2,22905
32,0,1,30,2,1,3,3,1,3,0,2,0,4,1,0,2,20309
46,1,3,16,3,0,3,4,3,3,1,3,1,1,0,0,3,24071
24,0,3,30,3,1,2,3,0,3,0,1,0,4,0,1,1,17400
31,1,1,15,2,1,2,4,0,4,2,1,1,3,1,0,1,17657
47,1,1,9,2,1,3,4,3,3,1,5,0,1,1,2,3,27256
25,0,3,31,3,1,3,4,0,3,1,2,0,4,1,2,1,21078
22,1,1,17,2,0,3,5,0,5,2,3,0,3,1,1,1,20094
37,0,1,10,3,1,2,4,0,4,2,6,0,4,1,1,1,20766
40,1,3,16,1,0,2,4,1,4,1,1,0,5,1,0,2,21852
53,0,1,32,3,0,3,5,4,3,1,5,0,5,0,2,0,32504
38,1,3,8,3,1,2,3,3,4,3,1,0,4,1,0,3,22351
32,1,1,8,1,1,2,4,1,5,2,5,0,4,0,1,2,17176
31,1,3,11,2,0,3,3,1,3,1,2,0,1,0,2,2,20476
25,1,3,11,3,1,2,4,1,3,2,2,1,3,0,1,2,20744
42,1,3,11,3,0,3,4,3,3,1,2,1,1,0,2,3,29125
60,1,3,7,1,1,4,4,3,3,1,5,1,1,1,1,3,30582
28,1,1,22,3,1,3,2,1,5,2,1,0,5,0,2,2,20661
49,1,1,12,2,0,2,4,4,3,1,3,1,5,1,0,0,28966
42,0,3,11,3,1,3,4,1,4,3,3,0,3,1,1,2,28033
29,1,3,9,3,0,3,4,1,4,0,3,1,3,1,1,2,23457
40,1,3,13,3,1,3,2,3,3,1,4,0,4,1,2,3,26915
59,1,1,30,3,0,4,4,3,3,0,3,0,3,1,1,3,28990
28,1,1,11,2,0,4,4,0,3,2,3,0,1,0,1,1,20996
28,1,1,16,3,0,3,4,0,4,2,3,0,3,1,1,1,20957
34,1,1,20,2,0,3,4,0,3,3,5,0,3,1,1,1,22130
48,1,1,26,3,1,2,3,0,3,0,5,0,2,0,0,1,17259
33,0,3,18,2,1,3,3,1,3,0,2,0,3,1,2,2,23385
34,1,3,34,3,0,3,4,1,3,1,2,0,5,1,0,2,21712
43,1,3,21,3,0,4,5,1,3,3,2,0,3,0,1,2,24922
49,1,1,6,1,0,2,4,4,3,2,1,1,3,1,0,0,28964
41,0,1,33,3,0,4,5,1,3,1,5,1,1,0,2,2,23100
26,1,3,15,2,1,3,3,1,4,0,2,0,4,0,1,2,23529
33,1,3,8,3,1,3,3,1,3,1,2,0,3,1,1,2,20505
46,1,1,6,3,1,2,3,2,3,1,1,0,5,1,1,4,34627
58,0,1,21,2,1,2,3,4,3,1,3,1,1,1,0,0,30787
37,1,1,12,2,0,3,4,3,5,1,6,0,4,1,2,3,26686
47,0,1,35,2,1,2,3,3,4,0,2,1,3,1,0,3,26849
30,1,1,14,3,0,4,5,0,3,1,8,0,5,1,2,1,21210
38,0,1,18,2,1,2,4,1,5,1,3,0,5,1,0,2,21288
30,1,3,17,2,1,3,4,0,3,3,3,0,4,0,1,1,21320
27,1,1,10,2,0,3,4,0,3,1,3,0,3,1,2,1,20739
43,0,1,16,2,0,2,3,0,3,2,1,0,5,0,1,1,17455
43,0,1,9,3,1,3,4,0,3,2,7,1,1,1,2,1,21193
30,0,3,18,2,1,3,4,0,5,0,2,0,5,1,0,1,17033
40,1,1,15,2,1,2,3,0,5,2,4,0,1,1,1,1,17018
35,1,3,16,2,0,4,4,1,3,0,3,0,2,1,3,2,24392
36,1,2,15,1,1,4,4,0,3,3,3,0,5,0,2,1,23001
36,1,1,34,3,0,3,5,0,5,2,3,0,4,0,2,1,21237
44,1,3,34,3,0,2,1,4,3,1,4,1,1,1,0,0,28320
24,0,3,16,3,1,3,4,0,5,1,3,0,5,1,1,1,20468
29,1,1,28,3,1,3,4,0,3,1,3,0,1,0,1,1,21391
33,1,3,20,2,1,4,4,1,3,1,4,0,1,0,3,2,23081
60,1,2,13,3,1,3,4,0,3,1,2,0,4,0,1,1,20945
28,1,3,18,3,0,4,2,0,3,0,2,0,3,1,2,1,21212
46,1,2,11,2,0,3,6,3,3,1,6,0,1,1,2,3,28434
38,1,1,10,2,1,3,4,3,3,1,3,0,1,1,1,3,28112
20,0,1,12,2,0,3,4,0,3,2,2,1,1,0,0,1,17926
35,0,1,31,2,0,3,3,0,4,1,2,1,3,0,0,1,17022
38,0,1,29,2,1,2,4,3,3,3,1,0,3,0,0,3,24526
29,1,1,24,1,1,3,5,0,3,1,7,0,3,0,2,1,21045
36,1,1,17,2,1,3,4,0,3,1,3,0,5,1,1,1,22595
36,1,1,17,2,1,3,4,0,3,1,3,0,5,0,1,1,22595
45,0,1,31,2,1,3,4,0,3,1,5,1,5,0,2,1,21839
35,1,3,21,1,0,3,4,0,3,1,3,1,5,1,1,1,21257
34,1,3,16,3,0,4,4,1,5,3,2,1,3,0,1,2,26902
41,1,1,16,2,1,3,4,0,5,2,5,0,1,1,2,1,20696
37,1,1,6,2,0,2,4,1,3,0,2,0,2,1,1,2,21474
52,1,3,21,2,0,3,4,1,3,1,6,0,3,1,1,2,23614
46,1,1,9,2,0,4,5,0,3,2,3,0,3,1,1,1,20952
41,1,3,10,3,0,2,3,3,3,1,1,1,1,0,1,3,25447
43,1,3,22,3,0,3,3,4,3,1,6,1,3,0,0,0,31064
35,1,1,6,3,1,1,4,0,3,2,2,0,4,1,0,1,17859
36,0,1,14,2,0,3,1,3,5,1,1,0,3,0,1,3,26713
32,0,1,17,3,0,3,4,3,3,1,6,0,1,1,2,3,29709
50,0,1,8,3,0,1,3,4,5,1,3,0,3,0,0,0,32856
54,1,1,23,1,0,2,3,3,3,1,1,0,5,0,0,3,25739
20,1,1,9,2,1,2,4,0,3,2,2,0,3,0,1,1,18033
35,0,3,13,3,0,3,6,0,3,1,2,0,4,1,2,1,21029
39,0,1,31,2,1,3,3,3,3,0,4,0,1,0,0,3,25920
36,0,3,25,3,0,4,4,1,3,0,2,1,5,1,3,2,23292
27,0,1,7,2,0,4,6,0,3,1,5,0,4,1,1,1,23042
21,1,3,16,2,1,3,4,0,5,3,3,0,1,0,2,1,21406
40,1,1,30,1,1,3,3,1,3,1,2,0,3,1,1,2,18319
36,1,3,35,2,0,4,5,0,3,1,2,0,4,1,3,1,21108
37,1,3,7,2,1,3,4,1,3,0,3,1,3,1,2,2,24879
56,1,3,9,3,1,3,4,1,3,3,6,0,2,0,2,2,23838
36,0,1,12,2,1,3,1,1,5,1,4,1,4,1,1,2,20562
31,0,3,32,3,1,3,3,1,3,1,2,1,3,0,1,2,20617
24,1,1,23,2,1,3,4,0,4,0,2,0,3,1,1,1,17127
40,1,1,17,3,1,4,4,1,5,1,4,0,5,1,3,2,24055
35,1,3,14,1,1,3,4,0,3,1,2,1,1,0,2,1,20986
37,1,1,14,2,1,4,4,0,3,3,4,0,3,0,3,1,23356
35,1,3,8,3,0,3,3,0,3,0,2,0,2,1,0,1,17014
38,1,1,17,2,1,3,4,1,4,3,4,1,5,0,2,2,22875
51,1,1,31,2,1,4,4,4,3,0,5,1,4,0,1,0,32651
30,1,3,12,3,1,3,5,1,4,1,3,1,5,0,1,2,22865
40,1,3,32,3,1,3,3,1,5,0,2,0,2,1,1,2,23396
29,1,1,16,2,0,3,4,0,5,2,7,1,5,1,1,1,17404
50,1,1,35,2,1,2,4,4,3,0,1,0,5,1,1,0,32046
37,0,3,18,1,0,4,4,3,3,0,2,0,5,0,1,3,28416
42,1,1,13,3,1,4,5,1,4,3,8,1,3,1,1,2,24710
30,0,1,7,2,1,4,6,0,3,1,3,0,1,0,3,1,21398
53,1,1,15,3,1,3,5,1,4,1,4,0,1,1,1,2,23619
47,1,1,28,3,0,4,4,1,4,1,6,0,3,1,3,2,27604
30,0,1,7,1,1,3,4,1,3,0,3,0,3,0,2,2,22997
49,0,1,24,2,1,3,3,1,3,1,2,1,1,0,0,2,21804
43,0,1,33,3,0,3,4,3,5,0,5,1,3,0,2,3,31869
52,1,1,9,3,1,3,6,1,4,1,7,0,2,0,1,2,24160
33,1,1,7,2,1,4,4,0,5,3,3,0,2,0,3,1,21634
40,1,3,31,3,0,3,5,4,3,1,2,0,1,1,2,0,30709
37,1,1,19,3,0,3,5,3,3,3,2,0,2,1,1,3,27536
31,1,1,31,2,1,4,4,0,3,1,3,0,3,1,3,1,21371
32,1,3,6,2,1,2,5,1,4,3,7,0,3,0,1,2,21735
58,0,1,8,2,1,2,4,0,3,1,1,1,2,0,0,1,17380
54,1,3,9,3,0,2,3,1,5,0,3,0,4,1,1,2,20940
50,0,3,14,1,1,2,3,1,3,0,4,1,5,1,0,2,21796
28,1,1,14,2,0,2,4,0,4,2,2,0,4,0,1,1,17154
42,1,3,16,2,1,4,4,3,3,1,5,1,1,0,2,3,26867
52,1,1,15,2,1,3,5,3,4,0,7,0,3,1,2,3,31168
50,1,1,6,3,1,3,3,4,3,1,1,0,5,0,2,0,32399
33,1,3,17,3,1,3,4,1,3,3,3,0,4,0,2,2,24074
26,1,3,6,2,1,2,3,1,3,0,2,0,5,1,0,2,20296
46,1,3,6,3,0,3,3,3,5,1,2,0,1,1,2,3,25453
21,1,1,16,2,0,2,4,0,5,2,2,0,3,0,1,1,16416
33,1,1,10,2,0,3,4,3,3,2,5,0,1,1,1,3,29837
44,1,1,14,2,0,3,4,3,5,0,2,0,5,1,1,3,28663
27,0,1,9,3,1,2,3,0,3,1,2,0,1,0,0,1,16706
36,1,3,23,3,1,4,4,3,4,0,2,0,2,1,3,3,26698
36,1,3,25,3,0,3,4,1,3,1,3,0,4,1,2,2,23279
54,1,1,8,1,0,2,3,3,3,1,1,0,4,0,0,3,28549
41,1,3,6,3,1,2,1,3,5,1,2,0,3,1,1,3,23392
23,1,1,22,3,0,3,4,0,3,3,3,0,1,1,2,1,21549
50,0,2,9,3,1,2,3,2,4,0,2,0,2,1,0,4,33200
42,1,1,35,2,0,3,5,4,4,1,2,0,5,1,2,0,32248
26,1,1,30,1,1,3,5,0,3,2,2,1,3,1,2,1,17340
28,0,3,15,2,1,3,4,3,3,3,3,0,2,1,1,3,27404
22,0,1,9,2,1,2,4,0,3,1,1,1,3,0,1,1,17853
38,1,1,17,2,0,3,4,0,5,1,2,1,3,1,1,1,21460
33,0,1,6,3,1,2,4,0,3,1,2,0,3,0,0,1,17008
30,1,1,8,3,0,2,4,1,3,3,6,1,1,1,1,2,21877
31,0,2,15,2,0,4,5,0,3,1,8,0,5,1,3,1,20858
27,1,1,10,3,1,3,2,0,3,0,3,0,5,1,2,1,23098
30,0,1,15,3,1,3,3,1,5,1,2,0,2,0,1,2,18072
30,1,3,9,3,1,4,5,1,4,1,4,0,4,1,1,2,25322
35,1,1,13,2,1,2,3,3,3,3,4,0,3,0,0,3,25221
31,0,1,9,3,1,3,3,3,3,1,1,0,4,1,2,3,28675
39,1,2,7,2,1,3,2,0,3,0,3,0,4,1,1,1,21522
37,1,1,16,3,1,4,5,0,3,0,2,1,2,0,2,1,22066
24,1,1,13,2,1,4,2,0,5,1,3,1,3,0,1,1,20279
19,1,1,8,2,1,2,4,0,3,2,2,0,5,1,0,1,16102
22,0,3,16,3,1,3,4,0,3,3,3,0,4,1,1,1,21288
41,1,1,25,2,1,2,3,1,5,1,3,0,2,1,0,2,18072
34,1,1,6,2,1,2,3,1,3,1,1,0,4,1,0,2,20484
39,1,1,7,1,0,4,4,3,5,0,3,0,4,1,3,3,32260
35,0,1,9,2,1,3,5,1,3,1,3,0,4,0,2,2,28225
54,0,1,17,3,0,2,3,4,3,1,4,0,3,1,0,0,31032
54,1,1,23,1,0,2,3,3,3,0,1,0,5,1,0,3,25739
47,1,3,17,2,0,4,4,3,4,1,7,0,1,0,3,3,25992
45,1,1,8,2,0,2,4,1,3,1,2,0,4,1,1,2,20770
37,1,3,16,2,0,2,4,1,3,1,3,1,4,0,0,2,21694
39,1,1,36,3,1,4,4,1,5,0,2,1,3,0,2,2,25351
38,1,1,35,3,1,3,3,1,5,0,1,1,3,0,1,2,21673
29,1,1,9,2,1,4,4,0,3,3,4,0,4,1,2,1,22163
29,1,1,14,2,1,3,5,0,5,1,2,1,3,0,1,1,17119
43,0,1,28,3,0,3,4,1,3,1,4,0,2,0,1,2,23943
29,0,1,7,2,0,3,6,1,3,0,2,0,3,1,1,2,25352
54,1,1,28,3,0,3,3,4,3,1,4,0,1,1,1,0,32426
34,0,1,7,2,0,4,4,3,3,2,3,1,2,1,1,3,32136
25,1,3,25,3,1,2,4,0,4,0,2,1,2,0,0,1,17413
53,1,1,9,3,1,2,3,4,3,1,4,1,5,1,0,0,32584
34,0,3,32,3,0,3,4,1,3,1,3,0,3,0,2,2,23217
33,0,1,7,2,1,4,4,0,3,1,2,0,5,1,1,1,20992
35,0,1,9,2,1,4,4,1,3,3,4,0,4,1,2,2,22711
26,0,1,6,3,0,3,4,0,3,1,2,0,2,1,0,1,17007
53,1,1,10,3,1,3,5,3,3,0,4,1,2,0,1,3,26647
35,1,2,10,2,1,3,4,0,3,1,2,0,1,1,1,1,22415
33,1,1,11,2,1,2,4,3,3,1,5,0,3,1,1,3,22119
33,1,3,13,3,1,3,4,1,3,3,3,0,5,1,1,2,23688
